               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047478,            0.019153,            0.035956,             0.60861,             0.76406,             0.85971,             0.43131,            0.036186,           0.0096372,            0.022165,            0.008845,            0.008845,            0.008845
                  37,            0.048051,             0.01861,            0.036858,              0.6767,             0.70679,             0.84074,             0.41588,            0.037755,            0.009663,            0.021534,            0.008812,            0.008812,            0.008812
                  38,            0.047683,            0.019684,             0.03638,              0.6279,             0.73333,             0.80629,             0.40199,            0.039783,            0.010579,            0.020412,            0.008779,            0.008779,            0.008779
                  39,            0.043284,            0.017585,            0.033622,             0.61346,             0.77206,             0.82331,             0.34628,            0.047237,            0.011128,            0.019477,            0.008746,            0.008746,            0.008746
                  40,            0.045738,            0.017487,            0.034392,             0.44123,             0.93741,             0.90194,             0.44056,            0.039038,           0.0092702,            0.018585,            0.008713,            0.008713,            0.008713
                  41,            0.045192,            0.015889,            0.035041,             0.50891,             0.64211,             0.68057,              0.2436,            0.050902,           0.0088789,             0.01845,             0.00868,             0.00868,             0.00868
                  42,            0.045297,            0.017183,            0.032135,             0.61336,             0.83333,             0.89054,             0.37015,             0.04331,           0.0085678,            0.017285,            0.008647,            0.008647,            0.008647
                  43,            0.044714,            0.016458,            0.029348,             0.57102,             0.96834,             0.91024,             0.42917,            0.037643,           0.0079155,            0.017533,            0.008614,            0.008614,            0.008614
                  44,            0.044675,            0.016899,             0.03043,             0.52603,                 0.8,             0.82952,             0.43576,             0.04077,           0.0078365,            0.017047,            0.008581,            0.008581,            0.008581
                  45,             0.04563,            0.015844,            0.026824,             0.54878,             0.83333,             0.89151,             0.47035,            0.035809,           0.0079304,             0.01566,            0.008548,            0.008548,            0.008548
                  46,            0.042227,            0.016985,            0.026399,             0.55387,             0.98117,              0.8439,             0.47539,            0.033042,           0.0081045,            0.015471,            0.008515,            0.008515,            0.008515
                  47,              0.0425,            0.015377,            0.028426,             0.50428,                   1,             0.82542,              0.4701,            0.035083,           0.0088108,            0.014919,            0.008482,            0.008482,            0.008482
                  48,            0.041615,            0.014843,            0.025519,             0.53196,             0.90187,             0.93389,             0.54748,            0.035068,           0.0081291,            0.014056,            0.008449,            0.008449,            0.008449
                  49,            0.043325,            0.016057,            0.024763,             0.73895,             0.87779,             0.93429,             0.58453,            0.031376,           0.0082322,            0.013369,            0.008416,            0.008416,            0.008416
                  50,            0.046005,            0.014571,            0.026285,              0.6349,             0.75812,             0.77968,             0.37403,            0.046454,           0.0081375,             0.01458,            0.008383,            0.008383,            0.008383
                  51,            0.041336,            0.016912,            0.024456,              0.6559,             0.99003,             0.92857,             0.54133,            0.029293,           0.0083531,            0.012562,             0.00835,             0.00835,             0.00835
                  52,            0.043767,            0.015351,            0.022813,             0.70204,             0.92728,             0.84804,             0.45224,            0.036827,           0.0080851,            0.012144,            0.008317,            0.008317,            0.008317
                  53,            0.041064,            0.015988,            0.025241,             0.76519,                   1,             0.94315,             0.50266,            0.036569,           0.0079481,            0.010684,            0.008284,            0.008284,            0.008284
                  54,            0.040651,            0.015117,            0.020041,             0.76969,             0.92887,             0.98389,             0.55631,            0.037652,            0.009082,            0.010454,            0.008251,            0.008251,            0.008251
                  55,            0.042107,             0.01459,            0.021268,             0.86341,             0.56331,             0.88574,             0.42358,            0.038692,            0.011168,             0.01475,            0.008218,            0.008218,            0.008218
